Tweet,Sentiment
"more than 170,000 customers were without power early this, This is what the tornado damage looks like from above. The cleanup wont be easy or fast",0
"Hydro Ottawa says it will be days, not hours before power is restored throughout the city. Heres where power is out",0
"At this time, all available crews have being mobilized. Hydro Ottawa is working to restore power as quickly and as safely as possible.We appreciate your patience while we tackle the extensive damage across our service territory",1
It looks like a war scene: Ottawa mayor warns it will take days to restore power ,0
"My thoughts are with all the people in the Ottawa region, especially in Dunrobin, who were impacted by the tornado. Thank you to all first responders and hydro crews working around the clock to help others.",1
"What does it mean when a major power station goes down in the city? Thankfully, we have davidreevely explaining it: the infrastructure has been heavily damaged by the storm. Broken poles are being replaced. Area is also affected by loss of provincial supply. Best estimate for ETR is tomorrow evening. Crews continue to work around the clock to restore power.",1
Hydro Ottawa says the latest estimate for power to be restored in Arlington Woods is tomorrow evening.,0
"OTTAWA ELECTRICITY NEWS: Hydro One is hopeful that theyll be able to work around the failures at Merivale transmission station by late this afternoon, leading to mass power-ups across the the city, especially in the west and southwest.(An earlier tweet said early this aft.)",1
We are very happy to announce that we will be able to open our season tomorrow! Some practice ice available - call after 9. Our thanks go out to the countless Ottawa hydro and emergency services workers for their hard work in restoring Ottawa after such an unimaginable event.,1
Inside Hydro Ones tricky problem: How to turn on the lights without a major power station -- good piece here by davidreevely,1
Thinking of all those affected by the tornadoes in Ottawa and Gatineau. Thank you to our hydro workers and first responders. The HoC will be sitting on Monday as scheduled.,1
"Heres a look at the tornado damage in the Dunrobin area and the Greenbank area, where a number of hydro poles were blown over. More on power outages:",0
"Someone asked a question of hydro regarding drinking water during this power outage.  Direct response from Hydro Ottawa: hydroottawa: As long as youre on city services, it should be fine.",1
"OUTAGE UPDATE - 88,000 Hydro Ottawa customers affected by power outages as of 4 am Sunday. Major pockets in Barrhaven, Nepean, Lincoln Heights, Richmond and Manordale. Crews working 24/7 to restore",0
700 people have registered through the Red Cross in Gatineau; 85 people have registered in Ottawa. Heres where power is still out:,0
" Hydro Ottawa crews continue to rebuild downed poles in the Craig Henry, Greenbank, Cedarview and Colonnade area. No ETRs at this time. We appreciate your patience as crews restore power to affected customers",1
